query_id,answer
70DfDUpwjxB4lzFd,d722bcda1a555091 355392014208b7bf 14d535285758af89 255fbeaf526a1cc1 6042fecdd7753112 603623b4bd9e8f6c 9515d1e1ecdac72c 4494aa11cbdc2d65 6fc4db453f873556 fa01652ca5f57d0f e5a240b2eaca4e11 4332513c8fe7e1c9 cf0b70d14b674f8b b92ee8f432cec2d1 f4e8903d7689e222 deb58d7ad8c27d06 d4ebb123b83921c3 bbfd9a8c71d3bd2b 73ba3172bc67d2dd 82ddaf2c54ef884a a1df0525799ab4b5 bee602308dd4d4b3 fa4ba2c2cf71b0b1 6047e1566a959d3a d7ad9f91504e4d02 94c5ec723ea5418f d01e14d2ffd4ddba 6dfa83ed47d5bd10 95571e85156ba0fe acc6e16fea8628b0 c04be97528001251 3b5ada3ffcacbbf3 56157887d3ddab2a 198c47117b3869da 1308d41ffd1cc3a6 2d73dacac243ce62 4f96718256e225e4 616137eeb40fbedc d15745c74b29ff6a 638349a35daca252 33f8d361a92bdcde 4c5de54dcb9ddd51 fe7d3dc9d1481dde 0a32e88bbfb35c29 7a8b8e44bbb75a1f 87201093afd6190c 7381aa4b4050d789 347f89be8087d8c7 500f27848ff77d33 752a724f7ed55eb6
JTrdTaZJvSiLPkXj,cbeccbecb1fb8d86 422d3ffdd5bbf626 1c6d2079e07f4497 47b2ed1012de011a 367af128a9ea2a48 1344796085e92421 dfa239d031b11832 01fbbfc288257fca 396da9dc8f95a5b4 35a0a88ef8547de9 73ab3b0d708ea15e 427a0a8bda5b9679 9227619964c97cd4 1a1f3efb845a2473 14fbc6d1a2f9f588 75be1179c1cf9418 431efbc80d59155f c5110c8ce7bc03db f46f68aaa4d7de38 19165fefac3dce47 cacca72b31f50e71 efde386fb8c4f385 7e18adf210484046 bfe712cb2e8abded d73d2694b62a903f e7c70d65edde0559 58616767e88c583f 8ab5ecc1f8361f90 e9cebe597677e8c6 0739b276b4e6e142 56415c6efe9263d3 5cc5ebbee2455db0 c91bab69f69d6356 c5702e4c67c7a769 560d9ac4f562fc83 536b488415b4ce03 fc58ff36bb11fdf4 c19e987391761ca1 edd8211c0aac76fb d46670131854e4d3 4930cb9da35e19af 339405aec2c3bd06 3ac025ea53807277 50207dd46f67137a a5a9f721b2a44357 9283cff74607813b a5999da9a4a897f7 12df6e80be4aaa2e 3e94e0d780de88d5 a6d5952df416abd8
LZCZNoVG4AFUkVRJ,d8fce513e4f000a7 3b370cc603f67947 168a9207e80b0be4 dab52187b4500d9b 10eb6d6da3230bbb c5d21c0e8c1cdb2d 3f89b8062dc85f1c edecb3695ab88901 d8b9d06b50158c04 d62074dd39caefee c1abf382ab9a79dd 5c3ee000a94c97a4 a9840be7d8930cd1 005a523a0efbc62b 597e24ccf265b201 53fc0e81b65d6289 ffa57569baf9bf6e 0b1c884e6c242ea7 35a357d7a0777087 65f998d38467560a 0c82dcb07c43fbc5 ab1a2e6b18e6d75a 449711e696e8856b c6e4d72fbdddb0c2 e14f5fb01fd62b4b 7347ccc4bdcfde01 0d06660c7c30724e 2745b4bcbdb485c7 ee58129557cfa95b 6c311e61cde9bac2 4d4d23ab3070858e 1ed12bdbbcbf09ee 0672c29f49f57fc3 f15206e5d1387bcc c51784a57473b4e8 747adf1ec178da7a 54f63ca01b4f312f 965d4e5fe7062419 bc5cfc9ad5b36256 2bee03d1a4f2cf4b 1a0aecc251e57776 055716c49b8a872d d992d4c3a389b3b7 71005958fbe1190f f03a082e6a709bf3 3f155e092f6b52f3 5503c14759454913 70c217c03761b975 de21438c561f783b b111a406629bee53
660ac9QVtXkRxZC3,67b2cd847669eb36 af91ec4a29b66636 da18e5119a944f0b 2babc4b2f86c9376 3e76e71f9e7867a5 52bb41bec8c09542 3cce43c811459438 bd2cb4500fad728e a846a2a5241e1180 e42795fcb72962a5 4c15e7abba063ac5 1e5924dc546b82c1 d8f21e0f7becfcd5 62be8c7f2a81aa9b 5b8181f009aea80e db04fd609245f490 4816fc8b40866f56 1fb7707db248aeb5 0ccc2d9667763ea3 17d79e42a015dd54 ca7c68af44fd8ee9 3b781361d56cf997 6191477f49af3209 f5251ca92afc5902 0b38c3b3819b74f0 c94d2f458e46a994 cbf29dff5b761b8c 0eef8b7c049d768f 8c58afcd5a699e29 52b0d3dc1c53a906 eab2ce5eaa7066ec ca5c4800cf3f9a73 0d28600703c3e946 558ec870e7692d59 49e290ab4300cfc4 3258e0cf775323d9 95b8a6adfaf17453 f9028eecc17d9dd0 515a106c4d420814 cbdbf7e22b6b7105 ef1e2358f9ac5967 08e8c89906568c95 cc84d252c5f117d1 134c28fb359a5712 d35cf915ec66f550 5f10cfbb9618ba49 f073e6ed45094779 f8d916128c36aa47 8eb6e9fb6049602e 957b34b5f0316b76
YgHcM9MVbxKnxD1e,1a62634394544781 53f9c8caeeb8111e 615c73ea4c3bfd15 9c41fe789f98d702 60e3b99111bd032b b8603925d28a8c99 5008e2463b0c0526 fb0bf6077c59c5a2 cba533b4d734504c 5d754b323095ba53 4ac1b5362445d885 a1b93aaf665bbede 4ef5ba70fa9baaef 9502b74b2d61c50e 3e5cd12f49696bff 33d983691b39da66 56e3295572157d74 94212c703afff6fe 8138a7b391e29034 b429bb253a967e2e 69313d4e1dce4f52 0f2830cc25924065 bbcd30c154b9cd4a 9e5b312ae03dfa79 0c8a36e283d43f46 0a6582395c74f5b3 f43b5ea6922fd2bf 0654823048b2fb84 4265411abbbf405a 3bad0535f35b0096 7476c2f3ad236a47 7a5a5b7a5ea48cb2 13eb637c602eb6ce 5302ea5fd1d36ebe 38f7cea86e2064f1 c15a07821acfd1de 0a66ddd6eb96bd6d e09647d3c173314b e023c13e57ad69b7 ab1375ac6cf06b05 94cce9ac398a8f4a ec0c1785ce9ede5d 0da6f81229980968 c68f137c29d85050 9c1a7044c25537f7 b1dea13210e26591 53df35c69ac8c274 ba78ad593ec3412d 757e8ade65e15b16 3e25a9fe34df3533
Fn8uGfYsaUS86ak6,c6ddc1fc25886253 e3f278c4400772bd efd1cbb4bff99da8 b9982354b0f9b488 1ebd6968953200ee 44853116720cebf8 12c906df661153f3 03528664f8be42dd c0c959ccb7cc3d15 ee49d0f90bd0642b e4d73ff84d102409 8ff32856b99b223a d384b46b93bf53b4 67046e3c5492df3e 6acdbf2dba17b143 1ff9c80277e5e5bf 5608e1f8f203f7f0 5fd350394c4e65a1 deb8430c13b40452 f6248730c66364a5 cc19dcdc0a74058b 1a0fd0229092f93a 01c152e3cfa3ca08 2c01198e6a9e5dcf 4be7b9267ce30093 55b42f2a9d801f9f c744821eed4a2d8b 879c476a25ef4f0e 6f7096b477f898df 076d8a8dde7aed00 61857fa438e615aa c86ecee6d28ad2c3 38d86757951c36dc 275d3c1139d393cf ae66c41ef6847433 4a35c2b9a2632ba7 16d21abda4b8ac64 e6a97aa4c81b95e9 9d4ffc1eb53aa4d5 2f2946d353283dce 9891997b97326de3 daea14410a7c74ed 13e8e9d385f8bdf2 a2a893914812cc9c db87b45f400e6809 9f0b5b0d735d848c 958c4ddbcd8aa1cb 6fcc245fe52b3122 5765bf23e2c1e169 3e8ed36587f620b3
u4hftjenWqHZoMep,d0a1eeeb46bda2ef 6159d0a9012f6b13 bfc4346cd7fe091f c9021873c1f2511b 0cfabc56b1cd4816 7ab3158075b21fb5 1a3daa8815cbd80e 4ed8df21d84d4a06 4ecfd12428c444fa 83b88c758270dcfe 57dc728ccb851c30 b0896578a785ce44 144d5e7f963f9a97 f7ed83d74c968bd4 7ad464454b711615 24370b8d2003ebfc 7a60e1d73f70774c e45c6c6c7afe87d6 11ae4d1b31ebd7e2 bdf6b93538e3573f 52b552798a34129b 0375f4bea0626c4c 1a176b690b702149 fe3f93e48ca295b7 d0986807a63f35f8 7950bc85541eb87a 734b44282e741008 210816d22274caec 2f089fc7d63f44fc b8682c938874a5f6 90e17d85ce74fabd 5e60059da20e316e e87fe9d03c7e1c6d 01467ea140a31433 3a53a839c1f4c488 0e8ff25999e4cd87 3ac99054bc30830e aa9e33f78a5074e4 4e95d2667dcb5fb3 9658db66079efd1a ef127e0a53304659 ee752d45a9373027 84f9776aace3a753 50b402fb74939bbc 7518ec83dc022deb 5246455f567efe6d 075cba772dd8c069 eda77ce98bbf5dd4 ecd5139de2908667 f8b023e74e665a78
2Ysms04CH0JxFR7M,376b59a44a9b7fde 48fb9b26f3ab9085 2021792912211cc8 d7383729fe99b54f a1ce355c874ba851 2ec74c681dda0a47 0749b0eac68ddfa2 c367d367efd7e4bf 9b746cef1e3ebe28 e27b8a70862f28a9 831141431ca6022b ff14cbd8d906719a 4eab8b78558b6cb7 fa0facc1035123dc cd8a55e63e6ab416 4e2cb3c6fe0f1376 866937840b197999 27514aceb5aeb5b4 c57e284d60a66f9b ba854086d29b49b8 9e6898aa5a012ad4 7cd161f77b76b004 1a4ad9abea6976bf d6161215ffaba51b d88cf31055f8f2f9 d39a335d58289043 d765d8511e57bd2d d1254ee38f8a30e6 4ab5d95e3dbd0660 f4bc1d7e5f5c5d38 1d3eb18e863c9dbf e3f2e9efeb9d1b5a 9972a497c9dcd441 af875b8598f2f28f c4b44fa04e075c00 0dcd4085e5061e40 832f57a536a3da0a 20024855626d6029 57811f80bf623c40 5c21402ece04bfb1 75720223ea9155af ba78333f884f585a fa7746ff31257532 36df86096b039d71 400aa08ff4f79575 456fefde43febf5a e3598048a2754fcd 9696b68b0e1b8278 3dfe6b4730fcbe21 75624abcda4d8857
C87NmbDEECz55BdJ,985dc437fea08791 639d85039afd302d 1210ead0ad9cacdf 94c4ccd762aae19f d53ed1b5ee04124b 772bdac5eb711ff6 503fa42b3135b07a a317a15b20ded8b5 933c563c0b97b294 7c1fd27bf3023a09 8e27e0145ab2d9ee d5481806b6e8dfde 3482673a7d6aceca 102b9907088f7929 17d852af377fc179 0489ab346368fb43 8d368cec78617ab7 9f69c8903ff81799 47d69ab911f7e876 a2fe5220900a341a 5bee8aed3480d143 86de71c66dd2773e 58c8bb4cda560a90 2fda907fd6c2e822 104da90f582eb10b d93f9fd25c34020e 03d74f1e16c5cb36 7d3079ea89ea3327 325cb0e9cc186e77 24f65a1ed155d3f6 312eb6d5e3c97fe5 e0f567b0b56f901d c110cd29cc7b359f 60da3b17af6c67c6 42b32e2a4f2e1a0a 5afbf6db81762374 c91e07de79c2df3a deb926c50529931b 77b7b1e4713c0a38 129061ce491b9036 32bcc7672238130c 4f5b402688684e75 c143762ac93699b4 41206f1973ec29eb 178b4657c729fa08 3788aabef309f32c bb793f8bb34cb7a4 8c017d755903c798 30c62f43a67238f7 d1cf724317693f3b
bTF8nFanljgh7MYg,12f8eb8fc5bcf830 e1a509061db4365e ffb293d728ad43a6 45751ba9f5ef2a7b bc6fe8709b827527 3b1daa74cc3b525b 8673e52d7a10e87d 5fe9106b02d139f8 a7805f280da53d7e 95d6e5ef0d0d0024 7d83d2d84dca235f 5e93a81c94d07a33 2408993e3627c6da 2e07853eb7febd93 c679539ea64e524f d47af97933f9c82b e66560f5571eb916 d6d1605f7dd4c950 ff0fa20dc2ab50f5 819fe7647608dfd8 f0163dabccdb33e8 8f913e791f9bc857 a524014ec1f47554 4d11c23bd09c33aa adb24f7adbef70ff 08593e6cbaacbef1 627ca4f7dc9fe638 88c1ca26292dbdff a2e5965b7fb44ba0 495994dc327cbdd5 070b67d8d87a7d16 4f7ffa7bcc82f869 33de3813f4dac961 6f9ecabf50905914 a37577e9aafbd972 87b31d1f653afc3e 1ef0d3d4bf13d4e5 1555a20631f724fe 09e9fea66d9b18ed 5bf42c78803ca2d6 79e03dc1b937f2b3 87c862e5fc5c2bd8 be9d08c840eae54e 253ace5bbc6a5281 2a106319c3653da7 04a8c44c5e26fb8f d4df758eb9a6847e b8f901c027245b00 5d49d636447b0c3e 53bb9d94875e6e75
